"","Country.Code","Country.Name","Region","Year","Fertility.Rate","LifeExpectancy1960"
"111","MKD","Macedonia, FYR","Europe",1960,3.842,60.6228048780488
"112","MLI","Mali","Africa",1960,6.967,28.2116097560976
"113","MLT","Malta","Europe",1960,3.62,67.6017804878049
"114","MMR","Myanmar","Asia",1960,6.051,42.7363902439024
"115","MNE","Montenegro","Europe",1960,3.521,63.7056097560976
"116","MNG","Mongolia","Asia",1960,6.953,48.3688048780488
"117","MOZ","Mozambique","Africa",1960,6.6,35.0037073170732
"118","MRT","Mauritania","Africa",1960,6.775,43.4830975609756
"119","MUS","Mauritius","Africa",1960,6.167,58.7452195121951
"120","MWI","Malawi","Africa",1960,6.94,37.7736341463415
"121","MYS","Malaysia","Asia",1960,6.194,59.4753414634146
"122","NAM","Namibia","Africa",1960,6.15,46.8803902439024
"123","NCL","New Caledonia","Oceania",1960,6.278,58.6390243902439
"124","NER","Niger","Africa",1960,7.407,35.5150487804878
"125","NGA","Nigeria","Africa",1960,6.354,37.1829512195122
"126","NIC","Nicaragua","The Americas",1960,7.336,46.9988292682927
"127","NLD","Netherlands","Europe",1960,3.12,73.3926829268293
"128","NOR","Norway","Europe",1960,2.85,73.549756097561
"129","NPL","Nepal","Asia",1960,5.959,35.1708292682927
"130","NZL","New Zealand","Oceania",1960,4.129,71.2365853658537
"131","OMN","Oman","Middle East",1960,7.247,42.6670731707317
"132","PAK","Pakistan","Asia",1960,6.6,45.2904634146342
"133","PAN","Panama","The Americas",1960,5.87,60.8817073170732
"134","PER","Peru","The Americas",1960,6.971,47.6915853658537
"135","PHL","Philippines","Asia",1960,7.148,57.8119268292683
"136","PNG","Papua New Guinea","Oceania",1960,6.275,38.462243902439
"137","POL","Poland","Europe",1960,2.98,67.6804878048781
"138","PRI","Puerto Rico","The Americas",1960,4.657,68.7196097560976
"139","PRT","Portugal","Europe",1960,3.16,62.8089268292683
"140","PRY","Paraguay","The Americas",1960,6.5,63.7937073170732
"141","PYF","French Polynesia","Oceania",1960,5.658,56.3570487804878
"142","QAT","Qatar","Middle East",1960,6.971,61.2060731707317
"143","ROU","Romania","Europe",1960,2.34,65.6424390243903
"144","RUS","Russian Federation","Europe",1960,2.52,66.0552926829268
"145","RWA","Rwanda","Africa",1960,8.187,42.2492926829268
"146","SAU","Saudi Arabia","Middle East",1960,7.216,45.6662682926829
"147","SDN","Sudan","Africa",1960,6.691,48.1876341463415
"148","SEN","Senegal","Africa",1960,6.951,38.206
"149","SGP","Singapore","Asia",1960,5.454,65.6598292682927
"150","SLB","Solomon Islands","Oceania",1960,6.388,49.3817073170732
"151","SLE","Sierra Leone","Africa",1960,5.97,30.3315365853659
"152","SLV","El Salvador","The Americas",1960,6.674,49.9479268292683
"153","SOM","Somalia","Africa",1960,7.25,36.9658780487805
"154","SSD","South Sudan","Africa",1960,6.721,31.6767073170732
"155","STP","Sao Tome and Principe","Africa",1960,6.242,50.4513658536585
"156","SUR","Suriname","The Americas",1960,6.608,59.6801219512195
"157","SVK","Slovak Republic","Europe",1960,3.04,69.9759268292683
"158","SVN","Slovenia","Europe",1960,2.324,68.9780487804878
"159","SWE","Sweden","Europe",1960,2.17,73.0056097560976
"160","SWZ","Swaziland","Africa",1960,6.717,44.2337804878049
"161","SYR","Syrian Arab Republic","Middle East",1960,7.467,52.768243902439
"162","TCD","Chad","Africa",1960,6.25,38.0161219512195
"163","TGO","Togo","Africa",1960,6.521,40.2728292682927
"164","THA","Thailand","Asia",1960,6.147,54.6993170731707
"165","TJK","Tajikistan","Asia",1960,6.235,56.1535365853659
"166","TKM","Turkmenistan","Asia",1960,6.415,54.4586829268293
"167","TLS","Timor-Leste","Asia",1960,6.373,33.7271219512195
"168","TON","Tonga","Oceania",1960,7.363,61.3645365853659
"169","TTO","Trinidad and Tobago","The Americas",1960,5.264,62.6575853658537
"170","TUN","Tunisia","Africa",1960,7.043,42.009756097561
"171","TUR","Turkey","Europe",1960,6.303,45.3844146341463
"172","TZA","Tanzania","Africa",1960,6.806,43.6538780487805
"173","UGA","Uganda","Africa",1960,6.999,43.9835609756098
"174","UKR","Ukraine","Europe",1960,2.24,68.2995365853659
"175","URY","Uruguay","The Americas",1960,2.88,67.8963902439025
"176","USA","United States","The Americas",1960,3.654,69.7707317073171
"177","UZB","Uzbekistan","Asia",1960,6.707,58.8855365853659
"178","VCT","St. Vincent and the Grenadines","The Americas",1960,7.224,57.7238780487805
"179","VEN","Venezuela, RB","The Americas",1960,6.616,59.2851219512195
"180","VIR","Virgin Islands (U.S.)","The Americas",1960,5.615,63.7302195121951
"181","VNM","Vietnam","Asia",1960,6.348,59.0670243902439
"182","VUT","Vanuatu","Oceania",1960,7.197,46.4874878048781
"183","WSM","Samoa","Oceania",1960,7.651,49.969512195122
"184","YEM","Yemen, Rep.","Middle East",1960,7.38,34.3638048780488
"185","ZAF","South Africa","Africa",1960,6.173,49.0362926829268
"186","ZMB","Zambia","Africa",1960,7.018,45.1098048780488
"187","ZWE","Zimbabwe","Africa",1960,7.158,51.5424634146342
